"DATE","variable","value"
"10/1/17","time08:00",4.46
"10/1/17","time09:00",5.44
"10/1/17","time10:00",5.95
"10/1/17","time11:00",6.46
"10/1/17","time12:00",6.84
"10/1/17","time13:00",2.17
"10/1/17","time14:00",2.75
"10/1/17","time15:00",3.05
"10/1/17","time16:00",2.47
"10/1/17","time17:00",2.92
"10/1/17","time18:00",2.47
"10/1/17","time19:00",2.3
"10/1/17","time20:00",2.3
"10/1/17","time21:00",2.32
"10/1/17","time22:00",2.32
"10/1/17","time23:00",2.15
"10/2/17","time00:00",2.45
"10/2/17","time01:00",2.15
"10/2/17","time02:00",2.17
"10/2/17","time03:00",2.32
"10/2/17","time04:00",2.32
"10/2/17","time05:00",2.3
"10/2/17","time06:00",3.07
"10/2/17","time07:00",8.17
"10/2/17","time08:00",17.35
"10/2/17","time09:00",16.84
"10/2/17","time10:00",20.94
"10/2/17","time11:00",26.07
"10/2/17","time12:00",34.15
"10/2/17","time13:00",32.35
"10/2/17","time14:00",39.54
"10/2/17","time15:00",40.69
"10/2/17","time16:00",22.09
"10/2/17","time17:00",5.3
"10/2/17","time18:00",4.55
"10/2/17","time19:00",3.65
"10/2/17","time20:00",2.92
"10/2/17","time21:00",2.6
"10/2/17","time22:00",2.92
"10/2/17","time23:00",2.62
"10/3/17","time00:00",2.62
"10/3/17","time01:00",2.77
"10/3/17","time02:00",2.62
"10/3/17","time03:00",2.62
"10/3/17","time04:00",2.9
"10/3/17","time05:00",3.07
"10/3/17","time06:00",3.8
"10/3/17","time07:00",9.88
"10/3/17","time08:00",17.93
"10/3/17","time09:00",16.65
"10/3/17","time10:00",19.35
"10/3/17","time11:00",26.48
"10/3/17","time12:00",30.41
"10/3/17","time13:00",30.77
"10/3/17","time14:00",36.86
"10/3/17","time15:00",35.14
"10/3/17","time16:00",23.53
"10/3/17","time17:00",13.56
"10/3/17","time18:00",8.48
"10/3/17","time19:00",6.51
"10/3/17","time20:00",2.47
"10/3/17","time21:00",2.15
"10/3/17","time22:00",2.32
"10/3/17","time23:00",2.3
"10/4/17","time00:00",2.17
"10/4/17","time01:00",2.62
"10/4/17","time02:00",2.45
"10/4/17","time03:00",2.92
"10/4/17","time04:00",2.92
"10/4/17","time05:00",3.12
"10/4/17","time06:00",4.92
"10/4/17","time07:00",11.93
"10/4/17","time08:00",18.58
"10/4/17","time09:00",14.45
"10/4/17","time10:00",16.59
"10/4/17","time11:00",24.33
"10/4/17","time12:00",29.86
"10/4/17","time13:00",32.79
"10/4/17","time14:00",38.63
"10/4/17","time15:00",31.6
"10/4/17","time16:00",13.34
"10/4/17","time17:00",8.75
"10/4/17","time18:00",5.9
"10/4/17","time19:00",2.47
"10/4/17","time20:00",2.45
"10/4/17","time21:00",2.17
"10/4/17","time22:00",2.17
"10/4/17","time23:00",2.3
"10/5/17","time00:00",2.3
"10/5/17","time01:00",2.17
"10/5/17","time02:00",2.17
"10/5/17","time03:00",2.3
"10/5/17","time04:00",2.47
"10/5/17","time05:00",2.74
"10/5/17","time06:00",3.7
"10/5/17","time07:00",8.61
"10/5/17","time08:00",11.83
"10/5/17","time09:00",12.72
"10/5/17","time10:00",13.24
"10/5/17","time11:00",17.22
"10/5/17","time12:00",21.14
"10/5/17","time13:00",23.09
"10/5/17","time14:00",55.86
"10/5/17","time15:00",48.82
"10/5/17","time16:00",29.01
"10/5/17","time17:00",8.62
"10/5/17","time18:00",5.45
"10/5/17","time19:00",2.6
"10/5/17","time20:00",2.45
"10/5/17","time21:00",2.47
"10/5/17","time22:00",2.17
"10/5/17","time23:00",2.32
"10/6/17","time00:00",2
"10/6/17","time01:00",2.32
"10/6/17","time02:00",2.17
"10/6/17","time03:00",2.3
"10/6/17","time04:00",2.32
"10/6/17","time05:00",2.32
"10/6/17","time06:00",4.59
"10/6/17","time07:00",10.11
"10/6/17","time08:00",16.8
"10/6/17","time09:00",14.55
"10/6/17","time10:00",20.41
"10/6/17","time11:00",28.15
"10/6/17","time12:00",33.79
"10/6/17","time13:00",42.86
"10/6/17","time14:00",44.14
"10/6/17","time15:00",49.45
"10/6/17","time16:00",27.99
"10/6/17","time17:00",4.87
"10/6/17","time18:00",3.52
"10/6/17","time19:00",2.45
"10/6/17","time20:00",2.45
"10/6/17","time21:00",2.17
"10/6/17","time22:00",2.32
"10/6/17","time23:00",2.02
"10/7/17","time00:00",2.32
"10/7/17","time01:00",2.3
"10/7/17","time02:00",2.17
"10/7/17","time03:00",2.17
"10/7/17","time04:00",2.32
"10/7/17","time05:00",2.3
"10/7/17","time06:00",2.32
"10/7/17","time07:00",2.02
