"Day","Season","Time","mean_kWh"
"Saturday","Fall","19:00",0.000344180781586224
"Saturday","Spring","19:00",0.000319431244197252
"Saturday","Summer","19:00",0.000364151927693984
"Saturday","Winter","19:00",0.000274645735658622
"Sunday","Fall","19:00",0.000327295846887045
"Sunday","Spring","19:00",0.000310736995160885
"Sunday","Summer","19:00",0.00035620464393749
"Sunday","Winter","19:00",0.00026490547168145
"Thursday","Fall","19:00",0.000675708527819675
"Thursday","Spring","19:00",0.000669340722347914
"Thursday","Summer","19:00",0.000734444184305346
"Thursday","Winter","19:00",0.000636760321685939
"Tuesday","Fall","19:00",0.000688230090958606
"Tuesday","Spring","19:00",0.000690989392111474
"Tuesday","Summer","19:00",0.000740733018476621
"Tuesday","Winter","19:00",0.000634030820931791
"Wednesday","Fall","19:00",0.000677695054570974
"Wednesday","Spring","19:00",0.000662265418300654
"Wednesday","Summer","19:00",0.000745397484288587
"Wednesday","Winter","19:00",0.000639431642701525
"Friday","Fall","20:00",0.000668320781632311
"Friday","Spring","20:00",0.000659432975406402
"Friday","Summer","20:00",0.000702400365384615
"Friday","Winter","20:00",0.000638298540388805
"Monday","Fall","20:00",0.000666119414534104
"Monday","Spring","20:00",0.000677228138525781
"Monday","Summer","20:00",0.000693507644024276
"Monday","Winter","20:00",0.000636211059703369
"Saturday","Fall","20:00",0.000285416816851014
"Saturday","Spring","20:00",0.000293751664098374
"Saturday","Summer","20:00",0.000317842719733534
"Saturday","Winter","20:00",0.000263909414999162
"Sunday","Fall","20:00",0.000286098379650578
"Sunday","Spring","20:00",0.00028208027846489
"Sunday","Summer","20:00",0.00026631851980476
"Sunday","Winter","20:00",0.00026365518539916
"Thursday","Fall","20:00",0.000661530313138931
"Thursday","Spring","20:00",0.000656089435478465
"Thursday","Summer","20:00",0.000709696319046422
"Thursday","Winter","20:00",0.000634393648776605
"Tuesday","Fall","20:00",0.000665242792063492
"Tuesday","Spring","20:00",0.00066519849046841
"Tuesday","Summer","20:00",0.000712162362116642
"Tuesday","Winter","20:00",0.000631058201525054
"Wednesday","Fall","20:00",0.000653365810780124
"Wednesday","Spring","20:00",0.000650051789089995
"Wednesday","Summer","20:00",0.000709455632436735
"Wednesday","Winter","20:00",0.000639877112200436
"Friday","Fall","21:00",0.000595330539282722
"Friday","Spring","21:00",0.00065470364291101
"Friday","Summer","21:00",0.000609916891159712
"Friday","Winter","21:00",0.000637989898902296
"Monday","Fall","21:00",0.000595206456917211
"Monday","Spring","21:00",0.000662097437091503
"Monday","Summer","21:00",0.000606232526882975
"Monday","Winter","21:00",0.00063669364999162
"Saturday","Fall","21:00",0.000251007498948383
"Saturday","Spring","21:00",0.000243492560180995
"Saturday","Summer","21:00",0.000277067664404223
"Saturday","Winter","21:00",0.000235915893028322
"Sunday","Fall","21:00",0.000264118241926429
"Sunday","Spring","21:00",0.000244944331569465
"Sunday","Summer","21:00",0.00027343907066365
"Sunday","Winter","21:00",0.000202805867810458
"Thursday","Fall","21:00",0.000577439577966315
